Class,TP,FP,FN,TN,Precision,Recall,F1
C1,5,16,13,227,0.23809523809523808,0.2777777777777778,0.2564102564102564
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,20,104,4,133,0.16129032258064516,0.8333333333333334,0.2702702702702703
C5,0,0,39,222,0.0,0.0,0.0
C6,39,87,13,122,0.30952380952380953,0.75,0.43820224719101125
C7,10,29,34,188,0.2564102564102564,0.22727272727272727,0.24096385542168675
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,2,21,8,230,0.08695652173913043,0.2,0.12121212121212122
C11,7,11,14,229,0.3888888888888889,0.3333333333333333,0.358974358974359
C12,0,0,5,256,0.0,0.0,0.0
C13,4,23,33,201,0.14814814814814814,0.10810810810810811,0.125
C14,22,22,56,161,0.5,0.28205128205128205,0.36065573770491804
C15,26,4,2,229,0.8666666666666667,0.9285714285714286,0.896551724137931
C16,0,16,1,244,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
