,precision,recall,f1-score,support
Grade_1,0.18309859154929578,1.0,0.30952380952380953,26.0
Grade_2,0.8,0.047619047619047616,0.0898876404494382,84.0
Grade_3,0.5,0.02564102564102564,0.04878048780487805,39.0
accuracy,0.2080536912751678,0.2080536912751678,0.2080536912751678,0.2080536912751678
macro avg,0.4943661971830986,0.35775335775335776,0.14939731259270858,149.0
weighted avg,0.6138292844314208,0.2080536912751678,0.11745382462927585,149.0
