Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,0,0,12,61,0.0,0.0,0.0
Fillings,57,16,0,0,0.7808219178082192,1.0,0.8769230769230769
Impacted Tooth,0,0,17,56,0.0,0.0,0.0
Implant,4,6,27,36,0.4,0.12903225806451613,0.1951219512195122
