,precision,recall,f1-score,support
Grade_1,0.18055555555555555,1.0,0.3058823529411765,26.0
Grade_2,1.0,0.023809523809523808,0.046511627906976744,84.0
Grade_3,0.3333333333333333,0.02564102564102564,0.047619047619047616,39.0
accuracy,0.19463087248322147,0.19463087248322147,0.19463087248322147,0.19463087248322147
macro avg,0.5046296296296297,0.34981684981684974,0.1333376761557336,149.0
weighted avg,0.6825130499627143,0.19463087248322147,0.09206081058925834,149.0
