Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,12,61,0,0,0.1643835616438356,1.0,0.2823529411764706
Fillings,57,16,0,0,0.7808219178082192,1.0,0.8769230769230769
Impacted Tooth,0,0,17,56,0.0,0.0,0.0
Implant,27,9,4,33,0.75,0.8709677419354839,0.8059701492537313
