Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
98,0,0,0,2,0,0
98,0,0,0,0,0,0
94,0,2,0,0,0,0
98,0,0,2,0,0,0
90,0,0,0,8,0,1
96,0,0,1,2,1,0
0,0,0,0,0,0,0
