Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,2,3,10,58,0.4,0.16666666666666666,0.23529411764705882
Fillings,19,1,38,15,0.95,0.3333333333333333,0.4935064935064935
Impacted Tooth,3,12,14,44,0.2,0.17647058823529413,0.1875
Implant,18,6,13,36,0.75,0.5806451612903226,0.6545454545454545
