Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,30,194,1,1,0.13392857142857142,0.967741935483871,0.23529411764705882
Primary teeth,2,0,211,13,1.0,0.009389671361502348,0.018604651162790697
