Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
48,4,17,2,9,20
3,57,1,0,0,39
0,0,97,0,3,0
56,6,0,26,9,3
6,8,5,0,77,4
54,8,3,1,27,7
