Class,Precision,Recall,F1,Support
Dental Caries,0.43283582089552236,0.5979381443298969,0.5021645021645021,97.0
Gingivitis,0.4394904458598726,0.7752808988764045,0.5609756097560976,89.0
Class III Malocclusion,0.7215189873417721,0.7702702702702703,0.7450980392156863,74.0
Pulpitis,0.7567567567567568,0.2828282828282828,0.4117647058823529,99.0
Tooth Loss,0.7671232876712328,0.6511627906976745,0.7044025157232704,86.0
Tooth Structure Loss,0.3125,0.20202020202020202,0.24539877300613497,99.0
