Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
50,6,26,2,1,15
3,80,1,0,0,16
0,3,97,0,0,0
53,9,1,23,3,11
3,18,6,0,65,8
42,19,4,1,13,21
