Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
46,4,3,19,2,26
0,100,0,0,0,0
0,0,100,0,0,0
0,2,0,84,0,14
3,4,0,10,73,10
4,0,0,9,2,85
