CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,0,2,2,0
0,0,0,1,3,0
0,0,0,1,5,0
0,0,1,10,21,0
0,1,0,12,46,0
0,0,0,4,17,0
