Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,12,61,0,0,0.1643835616438356,1.0,0.2823529411764706
Fillings,57,16,0,0,0.7808219178082192,1.0,0.8769230769230769
Impacted Tooth,17,48,0,8,0.26153846153846155,1.0,0.4146341463414634
Implant,31,42,0,0,0.4246575342465753,1.0,0.5961538461538461
