CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
4,0,0,0,0,0,0
2,0,0,0,0,0,2
4,0,0,0,0,0,2
16,0,1,0,0,0,15
36,0,3,0,0,0,20
13,0,5,0,0,0,3
0,0,0,0,0,0,0
