,precision,recall,f1-score,support
Grade_1,0.12857142857142856,0.375,0.19148936170212766,24.0
Grade_2,0.5416666666666666,0.37142857142857144,0.4406779661016949,70.0
Grade_3,0.3,0.08823529411764706,0.13636363636363635,34.0
accuracy,0.296875,0.296875,0.296875,0.296875
macro avg,0.3234126984126984,0.2782212885154062,0.2561769880558196,128.0
weighted avg,0.40001860119047616,0.296875,0.3131216089401042,128.0
