,precision,recall,f1-score,support
Grade_1,0.0,0.0,0.0,26.0
Grade_2,0.5378787878787878,0.8452380952380952,0.6574074074074074,84.0
Grade_3,0.23529411764705882,0.10256410256410256,0.14285714285714285,39.0
accuracy,0.5033557046979866,0.5033557046979866,0.5033557046979866,0.5033557046979866
macro avg,0.2577243018419489,0.3159340659340659,0.2667548500881834,149.0
weighted avg,0.3648207300003589,0.5033557046979866,0.4080110791520188,149.0
