Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
6,88,0,0,0,0,3
1,94,0,0,0,2,0
4,73,0,0,0,0,0
3,97,0,0,0,0,0
2,76,0,0,18,0,0
0,98,0,0,1,0,0
0,0,0,0,0,0,0
