Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,5,54,26,141,0.0847457627118644,0.16129032258064516,0.1111111111111111
Primary teeth,157,10,56,3,0.9401197604790419,0.7370892018779343,0.8263157894736842
