Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,0,18,239,0.0,0.0,0.0
C2,0,0,25,232,0.0,0.0,0.0
C3,0,0,19,238,0.0,0.0,0.0
C4,0,0,23,234,0.0,0.0,0.0
C5,0,0,39,218,0.0,0.0,0.0
C6,0,0,52,205,0.0,0.0,0.0
C7,0,0,44,213,0.0,0.0,0.0
C8,0,0,25,232,0.0,0.0,0.0
C9,0,0,2,255,0.0,0.0,0.0
C10,0,0,10,247,0.0,0.0,0.0
C11,0,0,21,236,0.0,0.0,0.0
C12,0,0,5,252,0.0,0.0,0.0
C13,0,0,37,220,0.0,0.0,0.0
C14,0,0,76,181,0.0,0.0,0.0
C15,0,0,26,231,0.0,0.0,0.0
C16,0,0,1,256,0.0,0.0,0.0
C17,0,0,1,256,0.0,0.0,0.0
C18,0,0,4,253,0.0,0.0,0.0
