CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,4,0,0,0,0
0,0,2,0,0,0,2
0,0,5,0,0,0,1
7,0,19,0,0,0,6
9,0,42,0,0,0,8
1,0,20,0,0,0,0
0,0,0,0,0,0,0
