Class,Precision,Recall,F1,Support
Dental Caries,0.24250681198910082,0.89,0.3811563169164882,100.0
Gingivitis,0.875,0.77,0.8191489361702128,100.0
Class III Malocclusion,0.9,0.36363636363636365,0.5179856115107914,99.0
Pulpitis,0.7272727272727273,0.16,0.26229508196721313,100.0
Tooth Loss,0.8913043478260869,0.41,0.5616438356164384,100.0
Tooth Structure Loss,0.5142857142857142,0.18,0.26666666666666666,100.0
