Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
89,1,3,1,0,6,0
23,77,0,0,0,0,0
62,1,36,0,0,0,0
73,2,0,16,2,6,1
48,5,1,0,41,5,0
72,2,0,5,3,18,0
0,0,0,0,0,0,0
