Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
10,60,13,0,5,0,12
0,89,0,0,8,0,2
2,61,9,0,20,0,7
0,81,2,0,1,0,16
0,72,9,0,15,0,4
1,72,16,0,6,0,5
0,0,0,0,0,0,0
