,precision,recall,f1-score,support
Grade_1,0.5161290322580645,0.6153846153846154,0.5614035087719298,26.0
Grade_2,0.6320754716981132,0.7976190476190477,0.7052631578947368,84.0
Grade_3,0.25,0.07692307692307693,0.11764705882352941,39.0
accuracy,0.5771812080536913,0.5771812080536913,0.5771812080536913,0.5771812080536913
macro avg,0.4660681679853926,0.49664224664224665,0.461437908496732,149.0
weighted avg,0.5118368755795382,0.5771812080536913,0.5263545757405753,149.0
