CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,0,0,0,4
0,0,0,0,1,0,3
0,0,0,1,0,2,3
0,0,0,0,3,5,24
0,1,0,0,5,5,48
0,0,0,0,2,4,15
0,0,0,0,0,0,0
