Class,TP,FP,FN,TN,Precision,Recall,F1
C1,11,17,7,225,0.39285714285714285,0.6111111111111112,0.4782608695652174
C2,5,6,20,229,0.45454545454545453,0.2,0.2777777777777778
C3,3,21,16,220,0.125,0.15789473684210525,0.13953488372093023
C4,13,45,11,191,0.22413793103448276,0.5416666666666666,0.3170731707317073
C5,6,9,33,212,0.4,0.15384615384615385,0.2222222222222222
C6,5,7,47,201,0.4166666666666667,0.09615384615384616,0.15625
C7,4,8,40,208,0.3333333333333333,0.09090909090909091,0.14285714285714285
C8,3,1,22,234,0.75,0.12,0.20689655172413793
C9,0,0,2,258,0.0,0.0,0.0
C10,2,14,8,236,0.125,0.2,0.15384615384615385
C11,6,22,15,217,0.21428571428571427,0.2857142857142857,0.24489795918367346
C12,4,0,1,255,1.0,0.8,0.8888888888888888
C13,2,4,35,219,0.3333333333333333,0.05405405405405406,0.09302325581395349
C14,10,12,68,170,0.45454545454545453,0.1282051282051282,0.2
C15,18,0,10,232,1.0,0.6428571428571429,0.782608695652174
C16,0,3,1,256,0.0,0.0,0.0
C17,0,0,1,259,0.0,0.0,0.0
C18,1,1,3,255,0.5,0.25,0.3333333333333333
