CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,3,1,0,0
0,0,4,0,0,0
0,0,5,1,0,0
0,0,27,5,0,0
0,0,40,19,0,0
0,0,10,11,0,0
