Class,Precision,Recall,F1,Support
Dental Caries,0.3138075313807531,0.75,0.4424778761061947,100.0
Gingivitis,0.9444444444444444,0.51,0.6623376623376623,100.0
Class III Malocclusion,0.8173913043478261,0.94,0.8744186046511628,100.0
Pulpitis,0.88,0.22,0.352,100.0
Tooth Loss,0.7009345794392523,0.75,0.7246376811594203,100.0
Tooth Structure Loss,0.26666666666666666,0.16,0.2,100.0
