Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
75,1,10,2,4,8
31,51,1,1,0,16
0,0,94,0,3,3
66,1,2,22,4,5
7,1,5,0,75,12
60,0,3,0,21,16
