CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,0,0,2,2
0,0,0,0,4,0
0,0,0,0,5,1
0,0,0,0,27,5
0,0,0,0,48,11
0,0,0,0,15,6
