Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,25,147,0,0,0.14534883720930233,1.0,0.25380710659898476
Primary teeth,91,9,70,2,0.91,0.5652173913043478,0.6973180076628352
