Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
28,16,7,2,4,40
1,57,0,0,0,39
1,1,73,0,1,1
2,19,0,23,7,49
0,9,5,0,51,34
1,34,1,0,7,57
