Class,Precision,Recall,F1,Support
Dental Caries,0.8484848484848485,0.28865979381443296,0.4307692307692308,97.0
Gingivitis,0.41911764705882354,0.5876288659793815,0.4892703862660944,97.0
Class III Malocclusion,0.8488372093023255,0.948051948051948,0.8957055214723927,77.0
Pulpitis,0.92,0.23,0.368,100.0
Tooth Loss,0.7285714285714285,0.5151515151515151,0.6035502958579881,99.0
Tooth Structure Loss,0.2590909090909091,0.57,0.35625,100.0
