Class,Precision,Recall,F1,Support
CVM-S1,0.0,0.0,0.0,4.0
CVM-S2,0.0,0.0,0.0,4.0
CVM-S3,0.04201680672268908,0.8333333333333334,0.08,6.0
CVM-S4,0.14285714285714285,0.03125,0.05128205128205128,32.0
CVM-S5,0.0,0.0,0.0,59.0
CVM-S6,0.0,0.0,0.0,21.0
