CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,2,1,0,1
0,0,0,3,0,0,1
0,0,0,5,0,0,1
0,0,0,29,0,0,3
0,0,0,54,0,0,5
0,0,0,16,0,0,5
0,0,0,0,0,0,0
