Class,TP,FP,FN,TN,Precision,Recall,F1
C1,11,60,7,183,0.15492957746478872,0.6111111111111112,0.24719101123595505
C2,2,10,23,226,0.16666666666666666,0.08,0.10810810810810811
C3,0,2,19,240,0.0,0.0,0.0
C4,1,0,23,237,1.0,0.041666666666666664,0.08
C5,0,1,39,221,0.0,0.0,0.0
C6,31,49,21,160,0.3875,0.5961538461538461,0.4696969696969697
C7,3,3,41,214,0.5,0.06818181818181818,0.12
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,9,230,1,21,0.03765690376569038,0.9,0.07228915662650602
C11,18,148,3,92,0.10843373493975904,0.8571428571428571,0.1925133689839572
C12,0,0,5,256,0.0,0.0,0.0
C13,0,4,37,220,0.0,0.0,0.0
C14,10,15,68,168,0.4,0.1282051282051282,0.1941747572815534
C15,6,0,22,233,1.0,0.21428571428571427,0.35294117647058826
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,0,0,4,257,0.0,0.0,0.0
