Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,3,10,9,51,0.23076923076923078,0.25,0.24
Fillings,27,0,30,16,1.0,0.47368421052631576,0.6428571428571429
Impacted Tooth,3,8,14,48,0.2727272727272727,0.17647058823529413,0.21428571428571427
Implant,24,9,7,33,0.7272727272727273,0.7741935483870968,0.75
