,precision,recall,f1-score,support
Grade_1,0.45454545454545453,0.5769230769230769,0.5084745762711864,26.0
Grade_2,0.6470588235294118,0.6547619047619048,0.650887573964497,84.0
Grade_3,0.3225806451612903,0.2564102564102564,0.2857142857142857,39.0
accuracy,0.5369127516778524,0.5369127516778524,0.5369127516778524,0.5369127516778524
macro avg,0.4747283077453855,0.49603174603174605,0.48169214531665644,149.0
weighted avg,0.5285353567512935,0.5369127516778524,0.5304547136840654,149.0
