CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,1,3,0,0
0,0,3,1,0,0
0,0,3,3,0,0
0,0,19,13,0,0
0,0,25,34,0,0
0,0,3,18,0,0
