Class,Precision,Recall,F1,Support
Dental Caries,0.26512968299711814,0.92,0.4116331096196868,100.0
Gingivitis,0.9787234042553191,0.46,0.6258503401360545,100.0
Class III Malocclusion,0.9325842696629213,0.83,0.8783068783068783,100.0
Pulpitis,0.9130434782608695,0.21,0.34146341463414637,100.0
Tooth Loss,0.8271604938271605,0.67,0.7403314917127072,100.0
Tooth Structure Loss,0.15384615384615385,0.02,0.035398230088495575,100.0
