Class,TP,FP,FN,TN,Precision,Recall,F1
C1,6,4,12,239,0.6,0.3333333333333333,0.42857142857142855
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,0,1,39,221,0.0,0.0,0.0
C6,2,1,50,208,0.6666666666666666,0.038461538461538464,0.07272727272727272
C7,4,6,40,211,0.4,0.09090909090909091,0.14814814814814814
C8,1,0,24,236,1.0,0.04,0.07692307692307693
C9,0,0,2,259,0.0,0.0,0.0
C10,1,3,9,248,0.25,0.1,0.14285714285714285
C11,10,17,11,223,0.37037037037037035,0.47619047619047616,0.4166666666666667
C12,2,0,3,256,1.0,0.4,0.5714285714285714
C13,7,13,30,211,0.35,0.1891891891891892,0.24561403508771928
C14,43,61,35,122,0.41346153846153844,0.5512820512820513,0.4725274725274725
C15,26,1,2,232,0.9629629629629629,0.9285714285714286,0.9454545454545454
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,2,2,255,0.5,0.5,0.5
