Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
47,3,5,19,0,26
0,100,0,0,0,0
1,0,99,0,0,0
0,3,0,82,0,15
0,3,4,7,73,13
3,0,0,6,1,90
