,precision,recall,f1-score,support
Grade_1,0.5714285714285714,0.15384615384615385,0.24242424242424243,26.0
Grade_2,0.5785714285714286,0.9642857142857143,0.7232142857142857,84.0
Grade_3,0.0,0.0,0.0,39.0
accuracy,0.5704697986577181,0.5704697986577181,0.5704697986577181,0.5704697986577181
macro avg,0.3833333333333333,0.3727106227106227,0.3218795093795094,149.0
weighted avg,0.4258868648130393,0.5704697986577181,0.45002033760423016,149.0
