CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
2,1,0,1,0,0
0,0,1,1,2,0
2,0,2,2,0,0
14,0,4,10,4,0
25,3,3,19,8,1
12,4,2,3,0,0
