Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
34,1,17,0,1,47
2,58,0,0,0,40
3,0,93,0,0,3
26,1,5,7,13,48
1,1,6,0,52,40
9,1,17,0,9,64
