Class,TP,FP,FN,TN,Precision,Recall,F1
C1,16,223,2,19,0.06694560669456066,0.8888888888888888,0.1245136186770428
C2,14,78,11,157,0.15217391304347827,0.56,0.23931623931623933
C3,14,78,5,163,0.15217391304347827,0.7368421052631579,0.25225225225225223
C4,12,79,11,158,0.13186813186813187,0.5217391304347826,0.21052631578947367
C5,17,74,22,147,0.18681318681318682,0.4358974358974359,0.26153846153846155
C6,25,66,27,142,0.27472527472527475,0.4807692307692308,0.34965034965034963
C7,17,74,27,142,0.18681318681318682,0.38636363636363635,0.2518518518518518
C8,11,96,14,139,0.102803738317757,0.44,0.16666666666666666
C9,1,87,1,171,0.011363636363636364,0.5,0.022222222222222223
C10,3,85,7,165,0.03409090909090909,0.3,0.061224489795918366
C11,9,85,12,154,0.09574468085106383,0.42857142857142855,0.1565217391304348
C12,0,88,5,167,0.0,0.0,0.0
C13,16,73,21,150,0.1797752808988764,0.43243243243243246,0.25396825396825395
C14,32,66,46,116,0.32653061224489793,0.41025641025641024,0.36363636363636365
C15,3,86,24,147,0.033707865168539325,0.1111111111111111,0.05172413793103448
C16,0,88,1,171,0.0,0.0,0.0
C17,1,85,0,174,0.011627906976744186,1.0,0.022988505747126436
C18,0,10,3,247,0.0,0.0,0.0
