CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,1,0,0,3
0,0,0,1,0,0,3
0,0,0,2,0,0,4
0,0,0,13,0,0,19
0,0,0,18,0,0,41
0,0,0,6,0,0,15
0,0,0,0,0,0,0
