Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
92,0,3,0,0,1,1
83,3,8,0,0,2,1
69,0,6,0,2,0,0
93,0,5,1,1,0,0
83,2,5,0,7,0,2
94,1,4,1,0,0,0
0,0,0,0,0,0,0
