CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,1,0,0,3
0,0,0,0,1,0,3
0,0,0,0,0,0,6
0,0,0,2,3,0,27
0,0,0,2,10,0,47
1,0,0,3,2,0,15
0,0,0,0,0,0,0
