CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,0,0,2,0
0,0,0,0,3,0
0,0,0,0,1,0
0,0,0,0,10,0
0,0,0,0,22,0
0,0,0,0,6,0
