Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,27,188,4,6,0.12558139534883722,0.8709677419354839,0.21951219512195122
Primary teeth,9,2,203,11,0.8181818181818182,0.04245283018867924,0.08071748878923767
