Class,Precision,Recall,F1,Support
Dental Caries,0.19029126213592232,0.98,0.31869918699186994,100.0
Gingivitis,0.7592592592592593,0.41836734693877553,0.5394736842105263,98.0
Class III Malocclusion,0.0,0.0,0.0,96.0
Pulpitis,0.0,0.0,0.0,100.0
Tooth Loss,0.7083333333333334,0.1717171717171717,0.2764227642276423,99.0
Tooth Structure Loss,0.0,0.0,0.0,100.0
