Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,30,195,1,0,0.13333333333333333,0.967741935483871,0.234375
Primary teeth,27,4,186,9,0.8709677419354839,0.1267605633802817,0.22131147540983606
