Class,Precision,Recall,F1,Support
CVM-S1,0.0,0.0,0.0,4.0
CVM-S2,0.0,0.0,0.0,4.0
CVM-S3,0.0,0.0,0.0,6.0
CVM-S4,0.25333333333333335,0.59375,0.35514018691588783,32.0
CVM-S5,0.5098039215686274,0.4406779661016949,0.4727272727272727,59.0
CVM-S6,0.0,0.0,0.0,21.0
