Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
9,62,0,0,4,6,19
0,63,0,0,0,32,3
1,91,2,0,1,0,1
3,89,0,0,7,1,0
0,50,0,0,49,0,0
1,88,0,0,11,0,0
0,0,0,0,0,0,0
