,precision,recall,f1-score,support
Grade_1,0.19318181818181818,0.7727272727272727,0.3090909090909091,22.0
Grade_2,0.5357142857142857,0.189873417721519,0.2803738317757009,79.0
Grade_3,0.25,0.14285714285714285,0.18181818181818182,35.0
accuracy,0.27205882352941174,0.27205882352941174,0.27205882352941174,0.27205882352941174
macro avg,0.3262987012987013,0.3684859444353115,0.2570943075615973,136.0
weighted avg,0.4067752100840336,0.27205882352941174,0.25965565495527015,136.0
