Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,5,6,7,55,0.45454545454545453,0.4166666666666667,0.43478260869565216
Fillings,53,14,4,2,0.7910447761194029,0.9298245614035088,0.8548387096774194
Impacted Tooth,17,28,0,28,0.37777777777777777,1.0,0.5483870967741935
Implant,16,1,15,41,0.9411764705882353,0.5161290322580645,0.6666666666666666
