Class,TP,FP,FN,TN,Precision,Recall,F1
C1,16,69,2,174,0.18823529411764706,0.8888888888888888,0.3106796116504854
C2,3,28,22,208,0.0967741935483871,0.12,0.10714285714285714
C3,7,27,12,215,0.20588235294117646,0.3684210526315789,0.2641509433962264
C4,8,40,16,197,0.16666666666666666,0.3333333333333333,0.2222222222222222
C5,10,28,29,194,0.2631578947368421,0.2564102564102564,0.2597402597402597
C6,22,32,30,177,0.4074074074074074,0.4230769230769231,0.41509433962264153
C7,18,41,26,176,0.3050847457627119,0.4090909090909091,0.34951456310679613
C8,8,33,17,203,0.1951219512195122,0.32,0.24242424242424243
C9,2,24,0,235,0.07692307692307693,1.0,0.14285714285714285
C10,1,26,9,225,0.037037037037037035,0.1,0.05405405405405406
C11,3,25,18,215,0.10714285714285714,0.14285714285714285,0.12244897959183673
C12,0,16,5,240,0.0,0.0,0.0
C13,7,20,30,204,0.25925925925925924,0.1891891891891892,0.21875
C14,18,20,60,163,0.47368421052631576,0.23076923076923078,0.3103448275862069
C15,18,14,10,219,0.5625,0.6428571428571429,0.6
C16,1,24,0,236,0.04,1.0,0.07692307692307693
C17,0,25,1,235,0.0,0.0,0.0
C18,2,24,2,233,0.07692307692307693,0.5,0.13333333333333333
