Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss,UNMAPPED
91,1,1,1,6,0,0
94,0,1,0,5,0,0
93,0,6,0,0,0,0
85,1,1,2,10,1,0
76,0,2,1,16,0,5
82,1,1,0,15,0,1
0,0,0,0,0,0,0
