Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
47,2,4,20,0,27
0,100,0,0,0,0
0,1,98,0,0,0
0,2,0,81,0,17
1,8,3,6,66,16
4,0,0,9,1,86
