CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,2,0,0,2,0
0,4,0,0,0,0
0,3,0,0,3,0
0,20,0,0,12,0
0,29,0,0,30,0
0,12,0,0,9,0
