,precision,recall,f1-score,support
Grade_1,0.36538461538461536,0.7307692307692307,0.48717948717948717,26.0
Grade_2,0.654320987654321,0.6309523809523809,0.6424242424242425,84.0
Grade_3,0.25,0.10256410256410256,0.14545454545454545,39.0
accuracy,0.5100671140939598,0.5100671140939598,0.5100671140939598,0.5100671140939598
macro avg,0.4232352010129788,0.48809523809523814,0.425019425019425,149.0
weighted avg,0.4980735769326373,0.5100671140939598,0.48525523693308936,149.0
