CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
0,0,0,3,1,0
0,0,0,3,1,0
0,0,0,6,0,0
0,0,0,23,9,0
0,0,4,37,18,0
0,0,0,8,13,0
